,appid,tags,genre
312660,312660,"Sniper, Action, Multiplayer, Shooter","Action, Adventure"
313120,313120,"Open World Survival Craft, Survival, Multiplayer, Open World","Adventure, Indie"
313160,313160,"Farming Sim, Automobile Sim, Simulation, Multiplayer",Simulation
314160,314160,"Flight, Simulation, Realistic, Multiplayer",Simulation
319630,319630,"Story Rich, Choices Matter, Great Soundtrack, Female Protagonist","Action, Adventure"
320,320,"Action, FPS, Multiplayer, Shooter",Action
320240,320240,"Adventure, Open World, Action, Survival","Action, Adventure, Indie"
321960,321960,"Strategy, Turn-Based Strategy, RPG, Fantasy","RPG, Strategy"
322170,322170,"Difficult, Music, Great Soundtrack, Precision Platformer","Action, Indie"
322330,322330,"Exploration, Open World Survival Craft, Survival, Sandbox","Adventure, Indie, Simulation"
323190,323190,"City Builder, Survival, Strategy, Resource Management","Simulation, Strategy"
32370,32370,"RPG, Sci-fi, Story Rich, Singleplayer","Adventure, RPG"
324080,324080,"Open World Survival Craft, Mining, Relaxing, Voxel","Action, Adventure, Indie, RPG, Early Access"
32440,32440,"LEGO, Local Co-Op, Adventure, Co-op",Adventure
32470,32470,"Strategy, RTS, Space, Sci-fi",Strategy
325610,325610,"Strategy, Historical, War, Turn-Based Strategy",Strategy
326360,326360,"Free to Play, MMORPG, Pixel Graphics, Massively Multiplayer","Free to Play, Massively Multiplayer, RPG"
326460,326460,"Tanks, Multiplayer, Strategy, 2D","Action, Casual, Indie, Massively Multiplayer, Strategy"
327030,327030,"Strategy, Multiplayer, Action, Turn-Based Strategy","Action, Strategy"
327070,327070,"Early Access, MMORPG, Medieval, Open World","Action, Adventure, Indie, Massively Multiplayer, RPG, Simulation, Early Access"
329110,329110,"Free to Play, Match 3, Puzzle, PvE","Action, Adventure, Casual, Free to Play, RPG, Strategy"
329430,329430,"Zombies, Survival, Open World, Base-Building","Action, RPG, Simulation"
330020,330020,"Multiplayer, Rogue-like, Action Roguelike, Hack and Slash","Action, Adventure, Indie, RPG"
331470,331470,"Visual Novel, Story Rich, Free to Play, Anime","Adventure, Casual, Free to Play, Indie"
33230,33230,"Action, Open World, Parkour, Assassin","Action, Adventure"
332310,332310,"LEGO, Open World, Building, Sandbox",Adventure
3330,3330,"Match 3, Puzzle, Arcade, Strategy",Casual
333420,333420,"Strategy, RTS, War, Multiplayer","Action, Adventure, Strategy"
334230,334230,"Multiplayer, Strategy, Mystery, Indie","Indie, RPG, Strategy"
335240,335240,"Free to Play, Multiplayer, Funny, Massively Multiplayer","Free to Play, Indie, Massively Multiplayer"
335300,335300,"Souls-like, Dark Fantasy, RPG, Difficult","Action, RPG"
337000,337000,"Cyberpunk, Stealth, RPG, Sci-fi","Action, RPG"
337320,337320,"Gore, Action, Blood, Fighting","Action, Indie"
337410,337410,"Free to Play, RPG, Massively Multiplayer, MMORPG","Free to Play, Massively Multiplayer, RPG"
33930,33930,"Simulation, Military, Action, Multiplayer","Action, Simulation, Strategy"
339600,339600,"Free to Play, Space, Strategy, Massively Multiplayer","Free to Play, Massively Multiplayer, Strategy"
339610,339610,"Free to Play, Basketball, Sports, Multiplayer","Action, Casual, Free to Play, Massively Multiplayer, Sports"
34030,34030,"Strategy, Historical, Grand Strategy, War",Strategy
342200,342200,"Free to Play, Mechs, Multiplayer, Action","Action, Free to Play, Massively Multiplayer, Simulation, Strategy"
346010,346010,"Building, Sandbox, Physics, Destruction","Indie, Simulation"
346110,346110,"Open World Survival Craft, Survival, Open World, Multiplayer","Action, Adventure, Indie, Massively Multiplayer, RPG"
346900,346900,"Free to Play, Clicker, Capitalism, Singleplayer","Casual, Free to Play, Indie"
347800,347800,"Metroidvania, Sci-fi, 2D, Action","Action, Adventure, Indie, RPG"
349040,349040,"Anime, Fighting, Action, Ninja","Action, Adventure"
35140,35140,"Action, Stealth, Third Person, Superhero","Action, Adventure"
351940,351940,"Adventure, Point & Click, Casual, Story Rich","Adventure, Casual, Indie"
352400,352400,"LEGO, Dinosaurs, Adventure, Open World","Action, Adventure"
354290,354290,"Free to Play, Rhythm, Massively Multiplayer, Casual","Action, Casual, Free to Play, Massively Multiplayer"
35450,35450,"Realistic, World War II, FPS, Multiplayer","Action, Massively Multiplayer, Simulation"
356190,356190,"Open World, Action, RPG, Fantasy","Action, Adventure, RPG"
3590,3590,"Tower Defense, Zombies, Strategy, Singleplayer",Strategy
359320,359320,"Space Sim, Space, Open World, Exploration","Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy"
359550,359550,"FPS, Hero Shooter, Multiplayer, Tactical",Action
359870,359870,"JRPG, Story Rich, RPG, Turn-Based Combat",RPG
360430,360430,"Crime, Open World, Action, Story Rich","Action, Adventure"
361280,361280,"Simulation, Strategy, Management, Indie","Indie, Simulation, Strategy"
361420,361420,"Multiplayer, Open World, Open World Survival Craft, Space","Adventure, Indie"
362490,362490,"Physics, RPG, Dark Fantasy, Dungeon Crawler","Action, Adventure, Indie, RPG, Simulation, Early Access"
362890,362890,"FPS, Remake, Action, Sci-fi","Action, Adventure, Indie"
