,appid,tags,genre
493900,493900,"Strategy, Simulation, Villain Protagonist, RTS","Simulation, Strategy"
494840,494840,"Early Access, World War II, Simulation, Military","Action, Indie, Simulation, Strategy, Early Access"
49520,49520,"Loot, Shooter, Action, Multiplayer","Action, RPG"
495420,495420,"Survival, Open World, Zombies, Base-Building","Action, RPG, Simulation"
495910,495910,"Free to Play, Anime, Massively Multiplayer, RPG","Action, Adventure, Free to Play, Massively Multiplayer, RPG"
500,500,"Zombies, Co-op, Multiplayer, FPS",Action
50130,50130,"Action, Open World, Crime, Story Rich",Action
502500,502500,"Flight, Jet, Military, War","Action, Simulation"
502520,502520,"Strategy, War, Historical, RTS","Indie, Simulation, Strategy"
503940,503940,"Strategy, Simulation, Management, Trains","Simulation, Strategy"
504230,504230,"Precision Platformer, Difficult, Pixel Graphics, Great Soundtrack","Action, Adventure, Indie"
505460,505460,"Massively Multiplayer, Wargame, Military, World War II","Action, Indie, Massively Multiplayer, RPG, Strategy"
508440,508440,"Sandbox, Funny, Simulation, Physics","Indie, Simulation, Strategy"
509980,509980,"Horror, Multiplayer, Co-op, Survival Horror","Action, Adventure, Indie, Early Access"
512900,512900,"Rogue-lite, RPG, Action Roguelike, Pixel Graphics","Action, Adventure, Indie, RPG"
513710,513710,"Survival, Open World Survival Craft, Multiplayer, Open World","Action, Adventure, Indie, Massively Multiplayer, Early Access"
515180,515180,"Simulation, Automobile Sim, Driving, Multiplayer",Simulation
516750,516750,"Automobile Sim, Simulation, Driving, Open World","Indie, Racing, Simulation, Early Access"
517630,517630,"Open World, Action, Destruction, Singleplayer","Action, Adventure"
518790,518790,"Hunting, Open World, Multiplayer, Simulation","Adventure, Simulation, Sports"
520440,520440,"Fighting, Anime, 2D Fighter, Great Soundtrack",Action
524220,524220,"Great Soundtrack, Story Rich, Female Protagonist, Action","Action, RPG"
524660,524660,"Utilities, Video Production, Design & Illustration, Animation & Modeling","Animation & Modeling, Design & Illustration, Utilities, Video Production"
526870,526870,"Base-Building, Automation, Open World, Multiplayer","Adventure, Indie, Simulation, Strategy, Early Access"
527230,527230,"RPG, Open World, Strategy, Online Co-Op","Adventure, Indie, RPG, Strategy"
527430,527430,"Warhammer 40K, RPG, Action RPG, Hack and Slash","Action, Adventure, Indie, RPG"
529340,529340,"Grand Strategy, Economy, Strategy, Historical","Simulation, Strategy"
531640,531640,"Free to Play, Card Game, Card Battler, Strategy","Casual, Free to Play, Massively Multiplayer, Strategy"
532110,532110,"Puzzle, Point & Click, Indie, Adventure","Adventure, Indie"
534380,534380,"Co-op, Parkour, Zombies, Open World","Action, Adventure, RPG"
535930,535930,"Simulation, Medical Sim, Management, Building","Indie, Simulation"
544550,544550,"Early Access, Space, Base-Building, Science","Action, Indie, Simulation, Early Access"
544730,544730,"Board Game, Casual, Strategy, Multiplayer","Casual, Strategy"
544750,544750,"Fighting, Action, Character Customization, Multiplayer",Action
544810,544810,"Free to Play, Card Game, World War II, Trading Card Game","Casual, Free to Play, Indie, Strategy"
546560,546560,"VR, FPS, Story Rich, Horror","Action, Adventure"
548430,548430,"Co-op, PvE, FPS, Exploration",Action
550,550,"Zombies, Co-op, FPS, Multiplayer",Action
550470,550470,"Free to Play, Anime, MMORPG, Massively Multiplayer","Action, Adventure, Free to Play, Massively Multiplayer, RPG"
550650,550650,"Free to Play, FPS, Shooter, Multiplayer","Action, Free to Play"
551170,551170,"RPG, Free to Play, Anime, Strategy","Adventure, RPG, Strategy"
552100,552100,"Sandbox, Destruction, Building, Multiplayer","Simulation, Early Access"
55230,55230,"Open World, Action, Comedy, Co-op",Action
552500,552500,"Co-op, First-Person, Games Workshop, Dark Fantasy","Action, Indie"
552520,552520,"Open World, Co-op, Action, FPS","Action, Adventure"
552990,552990,"Naval Combat, Free to Play, Naval, World War II","Action, Free to Play, Massively Multiplayer, Simulation"
555160,555160,"VR, Shooter, Action, Multiplayer","Action, Indie, Early Access"
555570,555570,"Zombies, Free to Play, Survival, Multiplayer","Action, Free to Play, Indie, Massively Multiplayer, RPG"
557600,557600,"Puzzle, Hand-drawn, Indie, Beautiful","Adventure, Casual, Indie"
560130,560130,"RPG, Party-Based RPG, Isometric, Story Rich",RPG
563560,563560,"Free to Play, Top-Down, Twin Stick Shooter, Top-Down Shooter","Action, Free to Play"
564530,564530,"City Builder, Strategy, Simulation, Historical","Simulation, Strategy"
567630,567630,"Free to Play, Massively Multiplayer, Strategy, Wargame","Action, Free to Play, Massively Multiplayer, Strategy"
567640,567640,"Visual Novel, Detective, Anime, Female Protagonist",Adventure
568220,568220,"Management, Simulation, Difficult, Story Rich","Indie, Simulation"
569480,569480,"City Builder, Colony Sim, Strategy, Medieval","Indie, Simulation, Strategy"
570,570,"Free to Play, MOBA, Multiplayer, Strategy","Action, Free to Play, Strategy"
570940,570940,"Souls-like, Dark Fantasy, RPG, Difficult",Action
571740,571740,"Multiplayer, Mini Golf, Golf, Casual","Casual, Indie, Simulation, Sports, Early Access"
573090,573090,"Sandbox, Building, Flight, Open World",Simulation
573100,573100,"Strategy, Space, Warhammer 40K, Real Time Tactics",Strategy
575720,575720,"Free to Play, Card Game, Strategy, RPG","Action, Adventure, Free to Play, Massively Multiplayer, RPG, Strategy"
578080,578080,"Survival, Shooter, Multiplayer, Battle Royale","Action, Adventure, Free to Play, Massively Multiplayer"
578330,578330,"LEGO, Open World, Action, Adventure",Action
578650,578650,"Open World, Action RPG, RPG, Exploration",RPG
579180,579180,"RPG, JRPG, Action, Anime","Action, RPG"
581320,581320,"FPS, Realistic, Shooter, Military",Action
582010,582010,"Co-op, Multiplayer, Action, Open World",Action
582160,582160,"Open World, Assassin, Action, RPG","Action, Adventure, RPG"
582660,582660,"MMORPG, Massively Multiplayer, RPG, Open World","Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy"
585420,585420,"Puzzle, Open World, Multiplayer, Jet","Action, Adventure, Indie, Racing, Simulation"
586140,586140,"Fighting, Anime, 2D Fighter, Action",Action
588430,588430,"Free to Play, Base-Building, Survival, Post-apocalyptic","Free to Play, RPG, Simulation"
588650,588650,"Adventure, Action Roguelike, Souls-like, Replay Value","Action, Adventure, Indie"
589290,589290,"Historical, Multiplayer, War, Strategy","Action, Indie, Massively Multiplayer, Simulation, Strategy"
590380,590380,"Strategy, Turn-Based Strategy, Indie, Pixel Graphics","Indie, RPG, Simulation, Strategy"
594570,594570,"Strategy, Fantasy, Turn-Based Strategy, RTS","Action, Strategy"
594650,594650,"Open World, Atmospheric, Tactical, Perma Death",Action
595520,595520,"RPG, JRPG, Fantasy, Singleplayer",RPG
597170,597170,"Robots, Action, 3D Fighter, Swordplay","Action, Indie"
599140,599140,"Pixel Graphics, Crafting, RPG, Simulation","Adventure, Indie, RPG, Simulation"
600750,600750,"Free to Play, Strategy, Space, Adventure","Adventure, Free to Play, RPG, Strategy"
601150,601150,"Action, Hack and Slash, Great Soundtrack, Character Action Game",Action
601430,601430,"Horror, Survival Horror, Psychological Horror, Story Rich","Action, Adventure"
601510,601510,"Free to Play, Card Game, Anime, Strategy","Free to Play, Strategy"
602960,602960,"Co-op, Multiplayer, Survival, Submarine","Action, Indie, Simulation, Strategy, Early Access"
603850,603850,"Strategy, Historical, War, Grand Strategy",Strategy
6060,6060,"Action, Multiplayer, Shooter, Third-Person Shooter",Action
606150,606150,"Hack and Slash, Rogue-lite, Pixel Graphics, Dungeon Crawler","Action, Adventure, Indie"
610080,610080,"Free to Play, Clicker, Strategy, Pixel Graphics","Free to Play, RPG, Strategy"
610370,610370,"Strategy, Real Time Tactics, Stealth, Western",Strategy
611500,611500,"Arena Shooter, Hero Shooter, Early Access, FPS","Action, Free to Play"
611670,611670,"Open World, RPG, VR, Singleplayer",RPG
611790,611790,"Sexual Content, Mature, Life Sim, Sandbox","Adventure, Casual, Indie, RPG, Simulation"
612880,612880,"FPS, Action, Singleplayer, Gore",Action
613100,613100,"Simulation, Design & Illustration, Singleplayer, Sandbox","Indie, Simulation"
616720,616720,"Animation & Modeling, Utilities, Anime, Software","Animation & Modeling, Utilities"
617290,617290,"Souls-like, Action, RPG, Co-op","Action, Adventure, RPG"
620,620,"Platformer, Puzzle, Dark Humor, First-Person","Action, Adventure"
620980,620980,"VR, Rhythm, Music, Great Soundtrack",Indie
621060,621060,"Simulation, Education, Immersive Sim, Building","Indie, Simulation"
622650,622650,"Horror, First-Person, Singleplayer, Puzzle","Action, Adventure, Indie, Strategy"
625960,625960,"RPG, Strategy, Rogue-like, Open World Survival Craft","Adventure, Indie, RPG, Strategy, Early Access"
627270,627270,"Fighting, Action, Superhero, Multiplayer",Action
627690,627690,"Idler, Free to Play, Clicker, Dungeons & Dragons","Action, Adventure, Free to Play, Indie, Strategy"
628070,628070,"Strategy, Historical, Turn-Based Strategy, Simulation",Strategy
628890,628890,"Simulation, Historical, Strategy",Simulation
629520,629520,"Utilities, Audio Production, Music, Software","Audio Production, Utilities"
629730,629730,"VR, Swordplay, Action, Gore","Action, Adventure, Indie, RPG, Simulation, Early Access"
629760,629760,"Medieval, Multiplayer, First-Person, Swordplay","Action, Indie"
632300,632300,"Survival, Open World, RPG, Multiplayer","Adventure, Indie, RPG, Simulation"
632360,632360,"Third-Person Shooter, Action Roguelike, Multiplayer, Action","Action, Indie"
632470,632470,"RPG, Story Rich, Choices Matter, Detective",RPG
633230,633230,"Anime, Action, Multiplayer, Character Customization",Action
635260,635260,"Racing, Driving, Simulation, Automobile Sim","Massively Multiplayer, Racing, Simulation, Sports"
636040,636040,"Free to Play, Massively Multiplayer, Pixel Graphics, Sandbox","Adventure, Free to Play, Indie, Massively Multiplayer"
636480,636480,"FPS, War, Singleplayer, Shooter","Action, Indie, Early Access"
637090,637090,"Mechs, Strategy, Turn-Based Tactics, Turn-Based","Action, Adventure, Strategy"
637650,637650,"RPG, Open World, JRPG, Fantasy",RPG
638970,638970,"Story Rich, Action, Beat 'em up, Great Soundtrack","Action, Adventure, RPG"
640820,640820,"RPG, Fantasy, Party-Based RPG, CRPG",RPG
641990,641990,"Multiplayer, Strategy, Pixel Graphics, Online Co-Op","Indie, Simulation, Strategy"
644560,644560,"Sexual Content, Nudity, Hentai, Mature","Adventure, Indie, RPG"
644930,644930,"Base-Building, Colony Sim, Strategy, Zombies",Strategy
645260,645260,"Free to Play, Fishing, Simulation, Sports","Free to Play, Simulation, Sports"
645630,645630,"Simulation, Automobile Sim, Driving, Building","Racing, Simulation"
646570,646570,"Roguelike Deckbuilder, Card Game, Card Battler, Rogue-like","Indie, Strategy"
646910,646910,"Racing, Open World, Automobile Sim, Multiplayer","Action, Massively Multiplayer, Racing"
647830,647830,"LEGO, Multiplayer, Open World, Superhero",Action
648350,648350,"Building, Dinosaurs, Simulation, Management","Simulation, Strategy"
648800,648800,"Survival, Open World Survival Craft, Multiplayer, Co-op","Adventure, Indie, Simulation"
653530,653530,"Detective, Mystery, Puzzle, Story Rich","Adventure, Indie"
65540,65540,"RPG, Open World, Classic, Atmospheric","Action, RPG"
655500,655500,"Motocross, Motorbike, Simulation, Multiplayer","Racing, Simulation, Sports, Early Access"
65800,65800,"Multiplayer, Online Co-Op, Tower Defense, Singleplayer","Action, Indie, RPG, Strategy"
65980,65980,"Strategy, Turn-Based Strategy, Sci-fi, Space",Strategy
663090,663090,"Free to Play, RPG, Massively Multiplayer, MMORPG","Free to Play, Massively Multiplayer, RPG"
665300,665300,"Video Production, Animation & Modeling, Design & Illustration, Utilities","Animation & Modeling, Audio Production, Design & Illustration, Utilities, Video Production, Web Publishing"
666140,666140,"RPG, Life Sim, Open World, Farming Sim","Adventure, Casual, Indie, RPG, Simulation"
666860,666860,"Free to Play, Pixel Graphics, RPG, Adventure","Adventure, Free to Play, Massively Multiplayer, RPG"
667970,667970,"Flight, VR, Combat, Simulation","Action, Indie, Simulation"
670290,670290,"Sports, Pool, Simulation, Free to Play","Action, Casual, Free to Play, Indie, Massively Multiplayer, Simulation, Sports, Strategy"
672680,672680,"Free to Play, Strategy, World War II, War","Free to Play, Massively Multiplayer, Simulation, Strategy"
673610,673610,"Sandbox, City Builder, Immersive Sim, Building","Indie, Simulation, Strategy"
673950,673950,"Agriculture, Multiplayer, Simulation, Casual","Casual, Indie, Simulation"
674020,674020,"FPS, Multiplayer, Shooter, Military","Action, Early Access"
674940,674940,"Multiplayer, Funny, Fighting, Action","Action, Casual, Indie"
675010,675010,"Offroad, Simulation, Automobile Sim, Driving",Simulation
677120,677120,"Rogue-lite, Action Roguelike, Co-op, Pixel Graphics","Action, Indie, RPG"
677620,677620,"Free to Play, FPS, Multiplayer, Arena Shooter","Action, Free to Play, Indie"
678800,678800,"Free to Play, Zombies, Multiplayer, Top-Down Shooter","Action, Free to Play, RPG"
678950,678950,"Fighting, Anime, Action, 2D Fighter",Action
678960,678960,"Souls-like, Anime, Character Customization, Action RPG","Action, RPG"
680420,680420,"Looter Shooter, RPG, Co-op, Third-Person Shooter","Action, Adventure, RPG"
681280,681280,"Sports, Racing, Action, Cycling","Action, Racing, Sports"
682990,682990,"Simulation, Action, Indie, Crime","Action, Adventure, Indie, Simulation"
683900,683900,"Management, Simulation, Strategy, Classic","Simulation, Strategy"
684450,684450,"Strategy, Simulation, City Builder, Post-apocalyptic","Simulation, Strategy"
686810,686810,"Shooter, Action, FPS, World War II","Action, Indie, Massively Multiplayer, Simulation, Strategy"
688470,688470,"Action, RPG, Strategy, Historical","Action, Adventure, Casual, Indie, RPG, Strategy"
690790,690790,"Racing, Automobile Sim, Simulation, Multiplayer","Racing, Simulation, Sports"
690830,690830,"City Builder, Strategy, Simulation, Medieval","Indie, Simulation, Strategy, Early Access"
692850,692850,"Metroidvania, RPG, Action, Female Protagonist","Action, Adventure, RPG"
692890,692890,"Early Access, FPS, Action Roguelike, Rogue-lite","Action, Indie, Early Access"
694280,694280,"Action, Zombies, Shooter, Multiplayer",Action
698780,698780,"Psychological Horror, Anime, Visual Novel, Free to Play","Casual, Free to Play, Indie"
699130,699130,"Zombies, Action, Online Co-Op, Multiplayer",Action
70,70,"FPS, Sci-fi, Singleplayer, 1990's",Action
700330,700330,"Free to Play, Horror, Multiplayer, First-Person","Action, Free to Play"
700600,700600,"Strategy, Base-Building, Simulation, Villain Protagonist","Simulation, Strategy"
701160,701160,"Strategy, Pixel Graphics, Adventure, Indie","Adventure, Indie, Simulation, Strategy"
702320,702320,"Free to Play, Strategy, Massively Multiplayer, RPG","Free to Play, Massively Multiplayer, RPG, Strategy"
703080,703080,"Management, Simulation, Building, Sandbox","Casual, Simulation, Strategy"
704270,704270,"Adventure, Open World, Action, Survival","Action, Adventure"
704450,704450,"RPG, Dungeons & Dragons, Fantasy, Multiplayer",RPG
704850,704850,"Simulation, Stealth, Crime, Singleplayer","Action, Adventure, Indie, Simulation"
705210,705210,"Action, Indie, Racing, Casual","Action, Casual, Indie, Racing"
707010,707010,"Survival, Multiplayer, Open World, Free to Play","Action, Free to Play, Indie, Massively Multiplayer, RPG, Early Access"
712100,712100,"Strategy, Historical, RTS, Turn-Based Strategy","Action, Strategy"
71340,71340,"Platformer, Great Soundtrack, Action, Fast-Paced",Action
714010,714010,"Free to Play, FPS, Shooter, Simulation","Action, Adventure, Casual, Free to Play, Indie, Simulation, Early Access"
718670,718670,"Management, Card Game, Rogue-lite, Story Rich","Indie, RPG, Simulation"
718850,718850,"Strategy, Turn-Based Strategy, 4X, Sci-fi",Strategy
719040,719040,"RPG, Turn-Based Combat, Post-apocalyptic, Strategy","RPG, Strategy"
719640,719640,"Free to Play, Strategy, Massively Multiplayer, Building","Free to Play, Massively Multiplayer, Strategy"
719890,719890,"Simulation, Dinosaurs, Massively Multiplayer, Survival","Adventure, Indie, Massively Multiplayer, Simulation, Early Access"
720620,720620,"Tabletop, RPG, Dungeons & Dragons, Level Editor","Indie, RPG, Simulation, Early Access"
72850,72850,"Open World, RPG, Fantasy, Adventure",RPG
728530,728530,"Mechs, Tactical RPG, Turn-Based Tactics, Anime","RPG, Strategy"
728880,728880,"Multiplayer, Online Co-Op, Local Co-Op, Casual","Action, Casual, Indie"
729040,729040,"FPS, Co-op, Shooter, First-Person","Action, RPG"
730,730,"FPS, Shooter, Multiplayer, Competitive","Action, Free to Play"
735850,735850,"Free to Play, Clicker, Simulation, Casual","Casual, Free to Play, Indie, Simulation"
736190,736190,"Psychological Horror, Life Sim, Memes, Simulation","Casual, Indie, RPG, Simulation"
736220,736220,"World War II, Simulation, FPS, Military","Action, Indie, Massively Multiplayer, Simulation, Strategy"
737800,737800,"Racing, Automobile Sim, Simulation, Sports","Racing, Simulation, Sports"
738540,738540,"JRPG, RPG, Anime, Story Rich",RPG
739630,739630,"Horror, Online Co-Op, Multiplayer, Psychological Horror","Action, Indie, Early Access"
740130,740130,"Anime, JRPG, RPG, Action RPG","Action, RPG"
740250,740250,"Free to Play, Indie, Massively Multiplayer, VR","Free to Play, Indie, Massively Multiplayer, Animation & Modeling, Design & Illustration, Education, Software Training, Utilities, Web Publishing, Early Access"
744190,744190,"Puzzle, Point & Click, Indie, Adventure","Adventure, Indie"
744900,744900,"Free to Play, Multiplayer, Survival Horror, Zombies","Action, Free to Play, Indie, Massively Multiplayer, RPG"
745920,745920,"Creature Collector, MMORPG, Turn-Based Tactics, Character Customization","Adventure, Indie, Massively Multiplayer, RPG"
747660,747660,"Horror, Survival Horror, Singleplayer, Robots","Action, Adventure, Indie"
750920,750920,"Adventure, Action, Female Protagonist, Singleplayer","Action, Adventure"
751780,751780,"Open World Survival Craft, Survival, Pixel Graphics, Crafting","Action, Adventure, Indie, Simulation"
752590,752590,"Story Rich, Adventure, Female Protagonist, Medieval","Action, Adventure"
753640,753640,"Exploration, Space, Mystery, Adventure","Action, Adventure"
755790,755790,"Free to Play, Battle Royale, Shooter, Multiplayer","Action, Free to Play, Massively Multiplayer"
755800,755800,"Free to Play, Space, Strategy, Massively Multiplayer","Free to Play, Massively Multiplayer, Strategy"
757320,757320,"Action, Indie, Farming Sim, Bullet Hell","Action, Indie"
758190,758190,"RPG, Strategy, Casual, Loot","Adventure, Casual, Indie, RPG, Simulation, Strategy"
761890,761890,"Free to Play, MMORPG, Open World, Massively Multiplayer","Free to Play, Massively Multiplayer, RPG"
763890,763890,"Party-Based RPG, Story Rich, Choices Matter, Turn-Based Tactics","Indie, RPG, Strategy"
766570,766570,"Fishing, Free to Play, Simulation, Nature","Adventure, Casual, Free to Play, Massively Multiplayer, RPG, Simulation, Sports"
767560,767560,"Free to Play, Action, Robots, Multiplayer","Action, Free to Play"
769560,769560,"Strategy, Card Game, Indie, Deckbuilding","Adventure, Indie, Strategy"
774171,774171,"Music, Rhythm, Anime, Cute","Action, Casual, Indie"
774361,774361,"Metroidvania, Souls-like, Pixel Graphics, Gore","Action, Adventure, Indie"
774861,774861,"Social Deduction, Survival, Multiplayer, Online Co-Op","Action, Adventure, Casual, Indie, Strategy"
775500,775500,"Action, Anime, RPG, Adventure","Action, Adventure, RPG"
777130,777130,"Sexual Content, LGBTQ+, Free to Play, Dating Sim","Casual, Free to Play, Indie, Simulation"
779340,779340,"Strategy, Historical, War, Turn-Based Strategy","Action, Strategy"
78000,78000,"Casual, Puzzle, Match 3, Singleplayer","Casual, Strategy"
780290,780290,"Tabletop, Co-op, RPG, Turn-Based","Adventure, RPG, Strategy"
780310,780310,"Base-Building, Strategy, Tower Defense, Survival","Action, Adventure, Indie, RPG, Simulation, Strategy"
782330,782330,"Action, FPS, Great Soundtrack, Gore",Action
783770,783770,"Free to Play, Action, FPS, Multiplayer","Action, Free to Play"
784080,784080,"Mechs, Simulation, FPS, Action","Action, Simulation"
784150,784150,"City Builder, Economy, Strategy, Simulation","Indie, Simulation, Strategy, Early Access"
784950,784950,"Strategy, Free to Play, Massively Multiplayer, Grand Strategy","Free to Play, Indie, Massively Multiplayer, Strategy"
786520,786520,"Utilities, Anime, Early Access, Indie","Utilities, Early Access"
787480,787480,"Detective, Visual Novel, Story Rich, Mystery",Adventure
787860,787860,"Simulation, Farming Sim, Multiplayer, Agriculture",Simulation
788100,788100,"Rogue-like, Platformer, Loot, Procedural Generation","Action, Adventure, Indie, RPG"
790710,790710,"Free to Play, Flight, Massively Multiplayer, World War II","Action, Free to Play, Massively Multiplayer, Simulation"
7940,7940,"FPS, Action, Multiplayer, Shooter",Action
794260,794260,"RPG, Open World, Survival, Co-op",RPG
797430,797430,"Free to Play, Strategy, Massively Multiplayer, Card Game","Casual, Free to Play, Massively Multiplayer, Simulation, Strategy"
798420,798420,"Free to Play, Fishing, Simulation, Multiplayer","Action, Casual, Free to Play, Massively Multiplayer, Simulation, Sports"
799600,799600,"Early Access, Building, Space, Simulation","Simulation, Strategy, Early Access"
799960,799960,"Massively Multiplayer, RPG, Magic, Card Game","Free to Play, Massively Multiplayer, RPG"
80,80,"Action, FPS, Shooter, Multiplayer",Action
800270,800270,"Strategy, Board Game, Space, Tabletop",Strategy
803050,803050,"Colony Sim, Base-Building, Space, City Builder","Indie, Simulation, Strategy"
803600,803600,"Strategy, RPG, JRPG, Turn-Based Tactics","RPG, Strategy"
805550,805550,"Racing, Automobile Sim, Simulation, VR","Racing, Simulation, Sports"
812140,812140,"Open World, RPG, Singleplayer, Assassin","Action, Adventure, RPG"
813780,813780,"Strategy, RTS, City Builder, Multiplayer",Strategy
813820,813820,"Battle Royale, Free to Play, Multiplayer, Shooter","Action, Free to Play, Early Access"
814380,814380,"Souls-like, Difficult, Action, Singleplayer","Action, Adventure"
815370,815370,"Survival, Open World Survival Craft, Online Co-Op, Open World","Action, Adventure, Indie, Simulation"
8190,8190,"Open World, Action, Sandbox, Third Person","Action, Adventure"
823130,823130,"Multiplayer, Physics, Indie, Character Customization","Action, Free to Play, Indie"
824270,824270,"Action, Shooter, Simulation, FPS","Action, Indie, Simulation"
824550,824550,"Mechs, Action RPG, Hack and Slash, Robots","Action, RPG"
826630,826630,"RTS, Strategy, Base-Building, Mechs",Strategy
829590,829590,"Base-Building, Open World Survival Craft, Survival, Colony Sim","Action, Adventure, Indie, Massively Multiplayer, RPG, Simulation, Strategy"
834530,834530,"Action, Adventure, Story Rich, RPG","Action, Adventure, RPG"
834910,834910,"Survival, Pirates, Open World, Sailing","Action, Adventure, Massively Multiplayer, RPG, Early Access"
838350,838350,"RPG, Martial Arts, Sandbox, Open World","Adventure, Casual, Indie, RPG, Strategy, Early Access"
839770,839770,"Tactical, Turn-Based Strategy, Grand Strategy, RPG","RPG, Strategy"
841370,841370,"Sports, Basketball, Simulation, Multiplayer","Simulation, Sports"
843380,843380,"Battle Royale, Cute, Free to Play, Multiplayer","Action, Adventure, Casual, Free to Play, Indie, Massively Multiplayer"
846770,846770,"Survival, Open World, Crafting, Zombies","Action, Adventure, Indie, RPG, Simulation"
848450,848450,"Open World Survival Craft, Survival, Underwater, Open World","Adventure, Indie"
848480,848480,"Wargame, Tower Defense, Real Time Tactics, Building","Action, Casual, Indie, Simulation, Strategy"
8500,8500,"Space, Massively Multiplayer, Free to Play, Sci-fi","Action, Free to Play, Massively Multiplayer, RPG, Strategy"
851850,851850,"Action, RPG, Anime, Open World","Action, RPG"
858210,858210,"Action Roguelike, Indie, Space, Rogue-lite","Action, Indie, Early Access"
858810,858810,"City Builder, Colony Sim, Strategy, Survival","Indie, Simulation, Strategy"
858820,858820,"Multiplayer, Co-op, Rogue-like, Action","Action, Adventure, Indie, RPG"
859570,859570,"Horror, Multiplayer, Online Co-Op, PvP","Action, Adventure, Indie"
859580,859580,"Strategy, Grand Strategy, Simulation, Rome","Simulation, Strategy"
860510,860510,"Horror, Adventure, Singleplayer, Puzzle",Adventure
861650,861650,"Sports, Simulation, Singleplayer, Indie","Indie, Simulation, Sports, Strategy"
863550,863550,"Stealth, Assassin, Action, Singleplayer",Action
868270,868270,"Survival, Free to Play, Loot, Tactical","Action, Free to Play, Massively Multiplayer"
868360,868360,"Simulation, Management, Building, Medical Sim","Indie, Simulation, Strategy"
870780,870780,"Action, Adventure, Female Protagonist, Supernatural","Action, Adventure"
871720,871720,"Free to Play, Horror, Difficult, Singleplayer","Action, Free to Play, Indie"
872410,872410,"Simulation, Strategy, Historical, Singleplayer",Simulation
872790,872790,"Simulation, Sports, Management, Soccer","Simulation, Sports"
875210,875210,"Historical, Strategy, Action, RPG","Action, RPG, Simulation, Strategy"
8800,8800,"Strategy, Turn-Based Strategy, 4X, Turn-Based",Strategy
880940,880940,"Multiplayer, Funny, Online Co-Op, 4 Player Local","Action, Casual, Indie"
881100,881100,"Physics, Difficult, Rogue-like, Dungeon Crawler","Action, Adventure, Indie, RPG, Simulation"
882100,882100,"Strategy, Turn-Based Tactics, Turn-Based, Turn-Based Strategy",Strategy
883710,883710,"Zombies, Survival Horror, Horror, Remake",Action
883860,883860,"Free to Play, Casual, Simulation, RPG","Casual, Free to Play, Indie, RPG, Simulation"
884660,884660,"Battle Royale, Free to Play, Open World, Multiplayer","Action, Free to Play, Massively Multiplayer"
885970,885970,"Strategy, Grand Strategy, Action, 4X",Strategy
8870,8870,"FPS, Story Rich, Action, Singleplayer",Action
891040,891040,"Free to Play, Pool, Sports, Simulation","Casual, Free to Play, Indie, Massively Multiplayer, Simulation, Sports"
892970,892970,"Open World Survival Craft, Survival, Online Co-Op, Open World","Action, Adventure, Indie, RPG, Early Access"
8930,8930,"Turn-Based Strategy, Strategy, Turn-Based, Multiplayer",Strategy
895400,895400,"Survival, Open World, Multiplayer, Open World Survival Craft","Action, Adventure, Indie, Massively Multiplayer, Early Access"
897330,897330,"Free to Play, Pixel Graphics, Relaxing, Casual","Casual, Free to Play, Indie"
898750,898750,"Strategy, RPG, JRPG, Simulation","RPG, Simulation, Strategy"
898920,898920,"Board Game, Wargame, Strategy, Tabletop",Strategy
899770,899770,"Action RPG, RPG, Hack and Slash, Loot","Action, Adventure, Indie, RPG, Early Access"
900040,900040,"Open World, Singleplayer, RPG, Action","Action, Adventure, RPG"
903950,903950,"Massively Multiplayer, Survival, Open World, Action","Action, Adventure, Indie, Massively Multiplayer, RPG, Early Access"
908520,908520,"Utilities, VR, Software, Benchmark",Utilities
909080,909080,"Puzzle, Free to Play, Point & Click, Psychological Horror","Adventure, Free to Play, Indie"
911400,911400,"Action, Adventure, Assassin, Open World","Action, Adventure"
914620,914620,"Survival, Open World, Open World Survival Craft, Zombies","Action, Adventure, Indie, Simulation, Early Access"
916440,916440,"Strategy, City Builder, Simulation, Economy","Simulation, Strategy"
918570,918570,"Free to Play, Dragons, Multiplayer, Action","Action, Free to Play, Indie"
919640,919640,"Strategy, World War II, RTS, Military","Action, Indie, Simulation, Strategy"
920210,920210,"LEGO, Adventure, Open World, Co-op","Action, Adventure"
920490,920490,"Utilities, Software, Free to Play",Utilities
921570,921570,"RPG, JRPG, Turn-Based, Pixel Graphics",RPG
924970,924970,"Zombies, Online Co-Op, Multiplayer, Shooter",Action
926990,926990,"Early Access, Life Sim, Survival, Co-op","Action, RPG, Simulation, Early Access"
927380,927380,"Action, Story Rich, RPG, Beat 'em up","Action, Adventure, RPG"
933110,933110,"Strategy, RTS, Base-Building, Multiplayer",Strategy
933820,933820,"City Builder, Strategy, Survival, Post-apocalyptic","Indie, Simulation, Strategy"
937170,937170,"Funny, Multiple Endings, Dating Sim, Visual Novel","Adventure, Indie, RPG"
937310,937310,"Tower Defense, Strategy, Level Editor, 2D","Indie, Strategy"
939960,939960,"Open World, FPS, Action, Co-op","Action, Adventure"
9420,9420,"Strategy, RTS, Sci-fi, Multiplayer",Strategy
942970,942970,"Detective, Puzzle, Indie, RPG","Indie, RPG, Simulation"
9450,9450,"Warhammer 40K, Strategy, RTS, Base-Building",Strategy
945360,945360,"Multiplayer, Online Co-Op, Social Deduction, Space",Casual
946050,946050,"Free to Play, RPG, Idler, Casual","Casual, Free to Play, Indie, RPG"
