,appid,name,short_description,developer,publisher,genre,tags,type,categories,owners,positive,negative,price,initialprice,discount,ccu,languages,platforms,release_date,required_age,website,header_image
368070,368070,Sniper Ghost Warrior 3,"Go behind enemy lines with the ultimate modern military shooter. Play as an American sniper dropped in Georgia, near Russian border. Choose your own path to accomplish your missions across an unforgiving open world.",CI Games,CI Games,Action,"Sniper, Open World, Action, Multiplayer",game,"['Multi-player', 'Single-player', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Online PvP', 'PvP']","1,000,000 .. 2,000,000",10382,5481,1999,1999,0,418,"English, French, Italian, German, Spanish - Spain, Polish, Russian, Simplified Chinese, Korean, Portuguese - Brazil, Japanese","{'windows': True, 'mac': False, 'linux': False}",2017/04/24,15,http://www.sniperghostwarrior3.com,https://cdn.akamai.steamstatic.com/steam/apps/368070/header.jpg?t=1615211290
368340,368340,CrossCode,"A retro-inspired 2D Action RPG set in the distant future. CrossCode combines 16-bit SNES-style graphics with butter-smooth physics, a fast-paced combat system, and engaging puzzle mechanics, served with a gripping sci-fi story.",Radical Fish Games,"Deck13, WhisperGames, DANGEN Entertainment, Mayflower Entertainment","Action, Adventure, Indie, RPG","Action RPG, Pixel Graphics, RPG, Female Protagonist",game,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Full controller support', 'Steam Trading Cards', 'Remote Play on TV']","200,000 .. 500,000",12203,764,1999,1999,0,224,"English, German, Simplified Chinese, Japanese, Korean","{'windows': True, 'mac': True, 'linux': True}",2018/09/20,0,http://www.cross-code.com,https://cdn.akamai.steamstatic.com/steam/apps/368340/header.jpg?t=1651051331
368500,368500,Assassin's Creed Syndicate,"London, 1868. In the heart of the Industrial Revolution, lead your underworld organization and grow your influence to fight those who exploit the less privileged in the name of progress","Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",Ubisoft,"Action, Adventure","Assassin, Open World, Action, Stealth",game,"['Single-player', 'Partial Controller Support', 'In-App Purchases']","1,000,000 .. 2,000,000",18013,4497,2999,2999,0,361,"English, French, Italian, German, Spanish - Spain, Czech, Dutch, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese","{'windows': True, 'mac': False, 'linux': False}",2015/11/18,0,http://assassinscreed.ubi.com/,https://cdn.akamai.steamstatic.com/steam/apps/368500/header.jpg?t=1602772802
369990,369990,"Gremlins, Inc.","This is an intense strategy board game in a steampunk world of corrupt capitalist gremlins who compete for money, political power and prestige. Save and invest, steal and extort, arrest and get arrested – in single-player and multiplayer, with ranks and ladders, team mode and spectator mode.",Charlie Oscar Lima Tango Interactive Entertainment,The Merchant Guild of Rund (Limited),"Indie, Strategy","Board Game, Tabletop, Card Game, Strategy",game,"['Multi-player', 'Single-player', 'Co-op', 'Stats', 'Steam Achievements', 'Steam Cloud', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'Online PvP', 'Online Co-op', 'PvP']","500,000 .. 1,000,000",6124,1127,1499,1499,0,211,"English, French, German, Spanish - Spain, Russian, Ukrainian, Italian, Czech, Japanese, Portuguese - Brazil, Simplified Chinese, Polish, Korean","{'windows': True, 'mac': True, 'linux': True}",2016/03/10,0,http://store.steampowered.com/app/369990,https://cdn.akamai.steamstatic.com/steam/apps/369990/header.jpg?t=1666786205
370700,370700,Black Home,"More 16-bit RPG goodness from Warfare Studios with this dark and thrilling adventure. Can you solve the mystery of the Monastery? Brave the unknown terrors inside, find hidden rooms and secret chambers, and unlock the mysterious past before the sun comes up, and you may get out alive!",Warfare Studios,Aldorlea Games,"Adventure, Casual, Indie, RPG","RPG, Indie, Adventure, Casual",game,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Full controller support', 'Steam Trading Cards']","100,000 .. 200,000",49,19,499,499,0,461,English,"{'windows': True, 'mac': False, 'linux': False}",2015/08/7,0,https://www.aldorlea.org/blackhome.php,https://cdn.akamai.steamstatic.com/steam/apps/370700/header.jpg?t=1630005363
371660,371660,Far Cry Primal,"The award-winning Far Cry franchise returns with its innovative open world gameplay, bringing together massive beasts, breathtaking environments, and unpredictable savage encounters. Welcome to the Stone Age, a time of danger and adventure.",Ubisoft,Ubisoft,"Action, Adventure","Open World, Survival, Action, Adventure",game,"['Single-player', 'Partial Controller Support', 'Steam Trading Cards']","500,000 .. 1,000,000",21170,3959,2999,2999,0,310,"English, French, Italian, German, Spanish - Spain, Czech, Dutch, Finnish, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Swedish, Traditional Chinese","{'windows': True, 'mac': False, 'linux': False}",2016/02/29,0,http://far-cry.ubisoft.com/primal/,https://cdn.akamai.steamstatic.com/steam/apps/371660/header.jpg?t=1638891922
371970,371970,Barony,"Barony is the premier first-person roguelike RPG with cooperative play. Cryptic items, brutal traps and devious monsters, like those found in classic roguelikes and CRPGs, await you. Conquer the dungeon alone, or gather a perfect party in co-op with iconic and exotic RPG classes.",Turning Wheel LLC,Turning Wheel LLC,"Action, Adventure, Indie, RPG","Action Roguelike, RPG, Dungeon Crawler, Co-op",game,"['Multi-player', 'Single-player', 'Co-op', 'Includes level editor', 'Partial Controller Support', 'Steam Achievements', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'Online Co-op', 'LAN Co-op']","200,000 .. 500,000",3450,294,1274,1499,15,361,English,"{'windows': True, 'mac': True, 'linux': True}",2015/06/23,0,,https://cdn.akamai.steamstatic.com/steam/apps/371970/header.jpg?t=1661821955
372000,372000,Tree of Savior (English Ver.),Tree of Savior(abbreviated as TOS thereafter) is an MMORPG in which you embark on a journey to search for the goddesses in the world of chaos. Fairy-tale like colors accompanied with beautiful graphics in TOS will have you reminiscing about precious moments all throughout the game.,"IMCGAMES Co.,Ltd.","IMCGAMES Co.,Ltd.","Free to Play, Massively Multiplayer, RPG","MMORPG, Massively Multiplayer, RPG, Anime",game,"['Multi-player', 'Valve Anti-Cheat enabled', 'Partial Controller Support', 'MMO', 'Steam Trading Cards', 'In-App Purchases']","1,000,000 .. 2,000,000",12711,6987,0,0,0,423,"English, Portuguese - Brazil, German, Simplified Chinese, Portuguese - Portugal, Russian, Thai","{'windows': True, 'mac': False, 'linux': False}",2016/03/28,0,http://www.treeofsavior.com,https://cdn.akamai.steamstatic.com/steam/apps/372000/header.jpg?t=1659597752
373420,373420,Divinity: Original Sin - Enhanced Edition,"Gather your party and get ready for the kick-ass new version of GameSpot's PC Game of the Year 2014. With hours of new content, new game modes, full voiceovers, split-screen multiplayer, and thousands of improvements, there's never been a better time to explore the epic world of Rivellon!",Larian Studios,Larian Studios,"Adventure, Indie, RPG, Strategy","RPG, Turn-Based, Co-op, Adventure",game,"['Multi-player', 'Single-player', 'Co-op', 'Captions available', 'Steam Achievements', 'Steam Cloud', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Full controller support', 'Steam Trading Cards', 'Remote Play Together']","1,000,000 .. 2,000,000",20312,2188,3999,3999,0,756,"English, French, Italian, German, Spanish - Spain, Russian, Polish, Czech, Simplified Chinese, Korean, Portuguese - Brazil","{'windows': True, 'mac': True, 'linux': True}",2015/10/27,0,http://www.divinityoriginalsin-enhanced.com/,https://cdn.akamai.steamstatic.com/steam/apps/373420/header.jpg?t=1665155407
374040,374040,Portal Knights,"The world of Elysia needs YOU! Join this cooperative, 3D sandbox action RPG to level up your character, craft epic weapons, conquer enemies in real-time, and build almost anything! Craft your adventure. Forge your hero. Become the ultimate Portal Knight!",Keen Games,505 Games,"Action, Adventure, RPG","Adventure, Sandbox, Multiplayer, RPG",game,"['Multi-player', 'Single-player', 'Co-op', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Steam Workshop', 'Shared/Split Screen Co-op', 'Remote Play on Tablet', 'Remote Play Together']","1,000,000 .. 2,000,000",16698,3392,1999,1999,0,304,"English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Finnish, Japanese, Korean, Norwegian, Simplified Chinese, Swedish, Polish, Turkish, Czech, Thai","{'windows': True, 'mac': False, 'linux': False}",2017/05/18,0,http://portalknights.com,https://cdn.akamai.steamstatic.com/steam/apps/374040/header.jpg?t=1598320711
